127.0.0.1 - - [11/Mar/2024:09:41:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2024:09:41:39 +0900] "GET /html_prj/day0308/hello.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:09:41:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:32:38 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:34:05 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:40:22 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:45:19 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:45:30 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:45:32 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:45:35 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:48:06 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:01:35 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:01:54 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 304 -
192.168.10.210 - - [11/Mar/2024:11:04:56 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 799
192.168.10.210 - - [11/Mar/2024:11:04:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.227 - - [11/Mar/2024:11:04:58 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 799
192.168.10.227 - - [11/Mar/2024:11:04:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.225 - - [11/Mar/2024:11:05:03 +0900] "GET /html_prj/day0311/new_line.html HTTP/1.1" 200 799
192.168.10.225 - - [11/Mar/2024:11:05:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:17:56 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:18:43 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:24:24 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:25:40 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:25:54 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:27:46 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:27:54 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:28:30 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:30 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:47 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:48 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:48 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:49 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:53 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:53 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:29:53 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:30:36 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:33:47 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:24 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:34 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:53 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:53 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:54 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:54 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:54 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:55 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:11:44:55 +0900] "GET /html_prj/day0311/markup.html HTTP/1.1" 304 -
