127.0.0.1 - - [12/Mar/2024:10:51:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:09 +0900] "GET /html_prj/day0312/img.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:09 +0900] "GET /html_prj/day0312/images/daum_logo.png HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:09 +0900] "GET /html_prj/common/images/img1.png HTTP/1.1" 200 85755
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:51:49 +0900] "GET /html_prj/day0312/h_tag.html HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:53:15 +0900] "GET /html_prj/day0312/h_tag.html HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:53:16 +0900] "GET /html_prj/day0312/h_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:53:20 +0900] "GET /html_prj/day0312/h_tag.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:53:39 +0900] "GET /html_prj/day0312/hr_tag.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [12/Mar/2024:10:54:06 +0900] "GET /html_prj/day0312/list_tag.html HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [12/Mar/2024:11:05:58 +0900] "GET /html_prj/day0312/sub/img2.html HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [12/Mar/2024:11:05:58 +0900] "GET /html_prj/common/images/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2024:11:13:55 +0900] "GET /html_prj/day0312/img.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [12/Mar/2024:11:13:55 +0900] "GET /html_prj/day0312/img4.png HTTP/1.1" 200 97400
0:0:0:0:0:0:0:1 - - [12/Mar/2024:11:13:55 +0900] "GET /html_prj/day0312/images/daum_logo.png HTTP/1.1" 304 -
