127.0.0.1 - - [22/Mar/2024:09:43:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Mar/2024:09:43:50 +0900] "GET /html_prj/day0322/form_control2.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [22/Mar/2024:09:43:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:02:54 +0900] "GET /html_prj/day0322/form_control2.html HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:26 +0900] "GET /html_prj/day0322/media.html HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:26 +0900] "GET /html_prj/day0322/media/video.mp4 HTTP/1.1" 200 5699643
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:26 +0900] "GET /html_prj/day0322/media/video.mp4 HTTP/1.1" 206 5699643
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:34:29 +0900] "GET /html_prj/day0322/media/video.mp4 HTTP/1.1" 206 2553915
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:40:42 +0900] "GET /html_prj/day0322/media.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:40:42 +0900] "GET /html_prj/day0322/media/audio.mp3 HTTP/1.1" 206 5651890
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:40:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:10:40:44 +0900] "GET /html_prj/day0322/media/audio.mp3 HTTP/1.1" 206 5127606
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:03:37 +0900] "GET /html_prj/day0322/media.html HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:03:37 +0900] "GET /html_prj/day0322/media/audio.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:03:37 +0900] "GET /html_prj/day0322/media/video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:05:18 +0900] "GET /html_prj/day0322/media.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:05:18 +0900] "GET /html_prj/common/img.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:05:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:05:23 +0900] "GET /html_prj/day0322/media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:05:23 +0900] "GET /html_prj/common/img.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:05:40 +0900] "GET /html_prj/day0322/media.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:05:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:09:55 +0900] "GET /html_prj/day0322/escape_character.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:11:09 +0900] "GET /html_prj/day0322/escape_character.html HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:18:59 +0900] "GET /html_prj/day0322/escape_character.html HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:25:53 +0900] "GET /html_prj/day0322/escape_character.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:43:25 +0900] "GET /html_prj/day0322/marquee.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:43:25 +0900] "GET /html_prj/day0322/images/sea.png HTTP/1.1" 200 435201
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:01 +0900] "GET /html_prj/day0322/marquee.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:01 +0900] "GET /html_prj/day0322/images/sea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:11:47:31 +0900] "GET /html_prj/day0322/marquee.html HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:39:24 +0900] "GET /html_prj/css0322/inline.html HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:44:03 +0900] "GET /html_prj/css0322/inline.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [22/Mar/2024:12:44:04 +0900] "GET /html_prj/css0322/inline.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:14:09:22 +0900] "GET /html_prj/css0322/embed.html HTTP/1.1" 200 299
