127.0.0.1 - - [14/Mar/2024:09:31:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:31:09 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:31:09 +0900] "GET /html_prj/day0312/images/post.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:31:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.216 - - [14/Mar/2024:09:31:35 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 882
192.168.10.216 - - [14/Mar/2024:09:31:35 +0900] "GET /html_prj/day0312/images/post.png HTTP/1.1" 200 1696
192.168.10.216 - - [14/Mar/2024:09:31:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.216 - - [14/Mar/2024:09:31:38 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 304 -
192.168.10.216 - - [14/Mar/2024:09:31:41 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 304 -
192.168.10.228 - - [14/Mar/2024:09:32:06 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 882
192.168.10.228 - - [14/Mar/2024:09:32:06 +0900] "GET /html_prj/day0312/images/post.png HTTP/1.1" 200 1696
192.168.10.228 - - [14/Mar/2024:09:32:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.233 - - [14/Mar/2024:09:32:57 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 882
192.168.10.233 - - [14/Mar/2024:09:32:57 +0900] "GET /html_prj/day0312/images/post.png HTTP/1.1" 200 1696
192.168.10.216 - - [14/Mar/2024:09:36:00 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 947
192.168.10.233 - - [14/Mar/2024:09:36:20 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 947
192.168.10.232 - - [14/Mar/2024:09:40:53 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 947
192.168.10.232 - - [14/Mar/2024:09:40:53 +0900] "GET /html_prj/day0312/images/post.png HTTP/1.1" 200 1696
192.168.10.232 - - [14/Mar/2024:09:40:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:13:49 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 200 276670
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:15:58 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 200 116668
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:17:49 +0900] "GET /html_prj/day0314/use_map.html HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:17:49 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:40:06 +0900] "GET /html_prj/day0314/use_map.html HTTP/1.1" 200 475
