0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:28 +0900] "GET /online-shop/manage/review/review_my.jsp HTTP/1.1" 200 39134
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:28 +0900] "GET /web/upload/icon_201706091347546400.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/goods/category.jsp?category=new HTTP/1.1" 200 26484
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/css/goods/category.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/index/like_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_6.png HTTP/1.1" 200 56065
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_7.png HTTP/1.1" 200 60394
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /morenvyimg/top_comm_bg.gif HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE14_8.png HTTP/1.1" 200 95807
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/index.jsp HTTP/1.1" 200 45335
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:35 +0900] "GET /online-shop/assets/images/index/left-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:36 +0900] "GET /online-shop/assets/images/index/right-arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:36 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE15_1.png HTTP/1.1" 200 79685
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:36 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE15_4.png HTTP/1.1" 200 78049
0:0:0:0:0:0:0:1 - - [05/May/2024:13:19:36 +0900] "GET /online-shop/assets/images/goods/APPLE_IPHONE15_5.png HTTP/1.1" 200 63317
